Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-4.645050049,-3.457950115,7.938000202
-4.722000122,-3.381000042,7.92195034
-4.722000122,-3.457950115,7.923000336
-4.798050404,-3.418950081,7.927050591
-4.759950161,-3.418950081,7.861950397
-4.645050049,-3.534000158,7.878000259
-4.759950161,-3.496050119,7.915050507
-4.722000122,-3.457950115,7.941000462
-4.759950161,-3.496050119,7.933950424
-4.759950161,-3.457950115,7.933950424
-4.837050438,-3.534000158,7.867050171
-4.759950161,-3.457950115,7.888950348
-4.722000122,-3.496050119,7.927950382
-4.759950161,-3.418950081,7.852950573
-4.759950161,-3.457950115,7.927950382
-4.683000088,-3.457950115,7.926000595
-4.875,-3.457950115,7.927950382
-4.759950161,-3.496050119,7.891950607
-4.722000122,-3.457950115,7.86495018
-4.722000122,-3.457950115,7.875000477
-4.759950161,-3.381000042,7.930950165
-4.798050404,-3.571950197,7.890000343
-4.645050049,-3.418950081,7.930050373
-4.683000088,-3.534000158,7.891050339
-4.722000122,-3.496050119,7.906950474
-4.798050404,-3.534000158,7.929000378
-4.683000088,-3.534000158,7.930050373
-4.759950161,-3.457950115,7.891950607
-4.722000122,-3.418950081,7.894050598
-4.722000122,-3.534000158,7.915950298
-4.722000122,-3.457950115,7.891950607
-4.759950161,-3.457950115,7.894050598
-4.798050404,-3.418950081,7.857000351
-4.759950161,-3.457950115,7.897050381
-4.722000122,-3.457950115,7.915050507
-4.722000122,-3.457950115,7.861050606
-4.875,-3.534000158,7.86000061
-4.645050049,-3.496050119,7.936050415
-4.798050404,-3.496050119,7.876050472
-4.722000122,-3.457950115,7.86000061
-4.798050404,-3.534000158,7.858950138
-4.722000122,-3.496050119,7.897050381
-4.759950161,-3.496050119,7.933950424
-4.759950161,-3.496050119,7.912050247
-4.722000122,-3.496050119,7.854000568
-4.798050404,-3.496050119,7.855950356
-4.798050404,-3.457950115,7.855050564
-4.722000122,-3.457950115,7.915050507
-4.683000088,-3.496050119,7.894050598
-4.683000088,-3.496050119,7.93200016
-4.722000122,-3.457950115,7.912950516
-4.722000122,-3.496050119,7.858050346
-4.683000088,-3.496050119,7.918050289
-4.683000088,-3.534000158,7.897950172
-4.759950161,-3.534000158,7.891050339
-4.759950161,-3.496050119,7.884000301
-4.606950283,-3.496050119,7.914000511
-4.722000122,-3.457950115,7.914000511
-4.759950161,-3.381000042,7.914000511
-4.759950161,-3.496050119,7.930050373
-4.722000122,-3.381000042,7.891950607
-4.759950161,-3.571950197,7.855950356
-4.645050049,-3.496050119,7.852950573
-4.722000122,-3.457950115,7.855950356
-4.722000122,-3.496050119,7.873050213
